# Warning! Next sybols will be ignored :  ,.!?()[]:;"
# Warning! All letters will be in lower-case
благо,21
боится,21
бородинское,21
бутылку,21
взглядывая,21
вздохом,21
видя,21
вилларский,21
воздухе,21
волка,21
волоса,21
воль,21
воспоминания,21
вскрикнула,21
вспоминая,21
выйдет,21
главе,21
главная,21
давал,21
дверью,21
держала,21
держать,21
дмитриевны,21
договорил,21
доказать,21
допустить,21
жила,21
замечал,21
записку,21
зрения,21
известный,21
колес,21
конец,21
крови,21
лучшее,21
маленькую,21
местность,21
милости,21
многое,21
молодости,21
мужу,21
музыки,21
мундирах,21
мюрат,21
мюрата,21
надежды,21
начальники,21
некоторых,21
никуда,21
няня,21
огромного,21
откуда,21
пальцем,21
платком,21
победа,21
победу,21
подойдя,21
позе,21
понимаешь,21
поняв,21
понятия,21
порядок,21
прежнее,21
привык,21
пространство,21
прошла,21
радостью,21
распоряжение,21
рассказа,21
решился,21
ружья,21
русскую,21
саду,21
сапоги,21
сестре,21
сестры,21
сесть,21
слове,21
смело,21
смеялись,21
совершиться,21
сознания,21
солдатам,21
соседней,21
старичок,21
стоило,21
стояло,21
существо,21
тихим,21
тонкой,21
тумане,21
удивлению,21
уехали,21
упорно,21
фланга,21
хорошее,21
целей,21
чай,21
штабе,21
батарее,20
батарею,20
белый,20
братьев,20
ваших,20
вести,20
взялся,20
влюблена,20
возвращаясь,20
вслух,20
высказать,20
выходил,20
выходить,20
г,20
герасим,20
губернии,20
гусарский,20
дайте,20
дама,20
девочка,20
действий,20
диванной,20
дожидаясь,20
доложил,20
дух,20
занятия,20
зло,20
ильин,20
исполнять,20
каждой,20
корпуса,20
лысые,20
мальчика,20
матушка,20
намерения,20
направился,20
напрасно,20
насколько,20
наука,20
нахмурился,20
нашим,20
независимо,20
немцы,20
несчастие,20
несчастия,20
обеду,20
обращая,20
общем,20
объяснения,20
отступление,20
отыскивать,20
офицером,20
папенька,20
перейти,20
побежали,20
позволил,20
показались,20
покраснела,20
полно,20
полю,20
послать,20
постель,20
поступил,20
пред,20
предложил,20
предметом,20
представлялись,20
представлялся,20
привез,20
принимая,20
пристально,20
причину,20
пушек,20
различные,20
ростовой,20
роты,20
русское,20
рысью,20
сани,20
